id,division,callsign,type,type_value,serial_number,status,task,time,latitude,longitude,fuel,ammo,health,damage,ammo_load,visibility,temperature,weather
unit_1,ДШБ,Альфа-1,Танк,10,5590,Работает,Патрулирование,2025-01-01 00:00:00,44.022326830563685,21.861701719072073,70.0,22.34666093690884,90.0,Нет,49,Преграда,-11.4,Шторм
unit_2,РР,Альфа-2,Дрон,10,3998,Работает,Поддержка,2025-01-01 00:00:00,44.577186032778826,27.470391320581847,81.0,98.10038492899882,72.64143322987492,Нет,82,Преграда,21.3,Снег
unit_3,РЭБ,Альфа-3,Гаубица,10,4976,Работает,Поддержка,2025-01-01 00:00:00,49.44372315043219,23.937908652344994,83.0,12.1237941180954,71.0,Нет,7,Туман,28.1,Шторм
unit_4,РР,Альфа-4,БТР,10,3945,Работает,Разведка,2025-01-01 00:00:00,44.45788128613778,25.859649650046446,58.0,15.83957634810751,25.0,Нет,43,Ночь,18.4,Дождь
unit_5,РР,Альфа-5,Гаубица,10,4792,Работает,Патрулирование,2025-01-01 00:00:00,45.81747806332284,28.295113321071003,68.0,43.89189418401716,41.0,Нет,7,Преграда,-11.1,Облачно
unit_6,РХБЗ,Альфа-6,Пехота,10,9919,Работает,Разведка,2025-01-01 00:00:00,47.20430279953168,20.853779861242753,91.8,16.109941860612658,67.0,Нет,86,Ясно,-4.0,Шторм
unit_7,РР,Альфа-7,Гаубица,10,1539,Работает,Атака,2025-01-01 00:00:00,45.44509197927447,27.537652853076803,82.0,3.4593541763681026,2.0,Нет,74,Туман,30.1,Ясно
unit_8,реактбатр,Альфа-8,Гаубица,10,6912,Работает,Атака,2025-01-01 00:00:00,41.44554940282349,26.084735915133976,0.0,44.511841448862505,42.0,Нет,66,Преграда,35.6,Шторм
unit_9,гсадн,Альфа-9,Дрон,10,1003,Работает,Оборона,2025-01-01 00:00:00,44.43737258093718,27.87127543135617,16.0,96.58143331733442,100.0,Нет,86,Ночь,23.4,Ясно
unit_10,РС,Альфа-10,Танк,10,2143,Работает,Разведка,2025-01-01 00:00:00,49.03915648059221,25.02863914877543,85.0,0.0,72.0,Нет,81,Ясно,5.8,Снег
unit_11,РС,Альфа-11,Дрон,10,6858,Работает,Поддержка,2025-01-01 00:00:00,45.97646795600582,24.458837413763835,94.0,75.63616128306305,76.0,Нет,55,Ночь,-13.0,Снег
unit_12,гсадн,Альфа-12,Дрон,10,8680,Работает,Атака,2025-01-01 00:00:00,46.71158231204238,21.929284420441416,38.0,16.784214941766813,36.0,Нет,78,Преграда,10.1,Облачно
unit_13,ДШБ,Альфа-13,Дрон,10,7603,Работает,Разведка,2025-01-01 00:00:00,44.84480579178871,26.03203576127335,79.0,64.81816671900222,65.0,Нет,50,Ночь,-10.8,Шторм
unit_14,ОР,Альфа-14,Гаубица,10,2380,Работает,Поддержка,2025-01-01 00:00:00,41.637429675574,26.59357137111518,66.0,79.84059602460711,99.0,Нет,21,Ясно,6.0,Снег
